Label,modularity_class
[H][C]([H])=[C]=[O][O]([H])[H].[OH2],1
[H][C]([H])=[C]=[O][O][OH].[H][H],1
[H][C]([H])=[C]=[O][OH].[H][O][H],1
[H][C]([H])=[C]1[O][O][O]1.[H][H],2
[H][C]([H])=[C]1[O][O]1[OH].[H][H],2
[H][C]([H])=[C]1[O]=[O]1.[H][H].[OH2],1
[H][C]([H])=[CH][O]([H])[H].[O]=[O],1
[H][C]([H])=[CH][O]([H])[O]([H])[OH],2
[H][C]([H])=[CH][O]([OH])[O]([H])[H],2
[H][C]([H])=[CH][O][O][O]([H])[H],2
[H][C]([H])=[CH][O]1[O][O]1.[H][H],2
[H][C]([H])=[CH2].[H][H].[O]1[O]=[O]1,1
[H][C]([H])=[CH2].[H][O]([H])[O]=[O],1
[H][C]([H])=[CH2].[H][O][H].[O]#[O],2
[H][C]([H])=[CH2].[H][O][O]=[O][H],1
[H][C]([H])=[CH2].[H][O]1[O][O]1[H],2
[H][C]([H])=[O].[H][C]([H])=[O][OH],3
[H][C]([H])=[O].[H][C]1([H])[O][O]1,2
[H][C]([H])=[O][C]([H])([H])[O][OH],2
[H][C]([H])=[O][CH]([H])[H].[O]=[O],3
[H][C]([H])=[O][O]([OH])[CH]([H])[H],2
[H][C]([H])=[O][O][C]([H])([H])[OH],2
[H][C]([H])=[O][O][O][CH]([H])[H],2
[H][C]([H])=[O][O]=[C]([H])[H].[OH2],3
[H][C]([H])=[O][O]=[O][CH3].[H][H],3
[H][C]([OH])=[C]([H])[O]=[O].[H][H],4
[H][C](=[CH2])[O]([H])[O]=[O].[H][H],1
[H][C](=[O])[C]([H])([H])[H].[O]=[O],0
[H][C](=[O])[C]([H])([H])[O]([H])[OH],2
[H][C](=[O])[C]([H])=[O][OH].[H][H],4
[H][C](=[O][O][OH])[C]([H])([H])[H],0
[H][C]#[C][H].[H][H].[O]=[O][OH],2
[H][C]#[C][H].[H][H].[O]1[O][O]1,4
[H][C]#[C][H].[H][H].[OH2].[O]#[O],4
[H][C]#[C][H].[H][O]([H])[O][OH],4
[H][C]#[C][H].[H][O][H].[O]=[O],2
[H][C]#[C][H].[H][O][O]([H])[OH],4
[H][C]#[C][H].[H][O][O][O][H],4
[H][C]#[C][H].[H][O]=[O][H].[OH2],2
[H][C]#[C][H].[H][OH].[H][O]=[O],2
[H][C]#[C][O]([H])[O][OH].[H][H],1
[H][C]#[C][O]([OH])[O][H].[H][H],1
[H][C]#[C][O][O]([H])[OH].[H][H],1
[H][C]#[C][O][O][O][H].[H][H],1
[H][C]#[CH].[H][H].[H][O][O]=[O],2
[H][C]#[CH].[H][H].[H][O]=[O][OH],2
[H][C]#[CH].[H][H].[H][O]1[O][O]1,1
[H][C]#[CH].[H][H].[H][OH].[O]#[O],1
[H][C]#[CH].[H][O]([H])[O]([H])[OH],1
[H][C]#[CH].[H][O][O]([H])[O][H],1
[H][C]#[CH].[H][O][O][O]([H])[H],1
[H][C]#[O].[H][C]([H])([H])[O][OH],0
[H][C]#[O].[H][O][O][CH]([H])[H],3
[H][C]1([H])[CH]=[O][O][O]1.[H][H],2
[H][C]1([H])[CH]=[O][O]1[OH].[H][H],2
[H][C]1([H])[CH]=[O]1.[H][H].[O]=[O],1
[H][C]1([H])[CH]2[O]([OH])[O]21.[H][H],1
[H][C]1([H])[CH]2[O][O][O]21.[H][H],1
[H][C]1([H])[CH]2[O][O]1[O]2.[H][H],1
[H][C]1([H])[CH2][O]([OH])[O]1.[H][H],2
[H][C]1([H])[CH2][O][O]1.[H][H].[OH2],1
[H][C]1([H])[CH2][O]1[O][OH].[H][H],2
[H][C]1([H])[CH2][O]1[OH].[H][H].[OH2],1
[H][C]1([H])[CH2][O]2[O][O]21.[H][H],1
